Dataset,Model,Lexicon,K,ACC,SIM,FL,J,BLEU
Paradetox,LexiconGST,Abusive,5,0.70,0.89,0.75,0.47,0.77
Paradetox,LexiconGST,Hurtlex,3,0.48,0.92,0.79,0.35,0.82
Paradetox,LexiconGST,Orthrus,1,0.78,0.85,0.69,0.47,0.73
Paradetox,LexiconGST,ParaDetox-Lex,1,0.81,0.83,0.60,0.42,0.70
Paradetox,MultiLexiconGST,Abusive,1,0.80,0.83,0.71,0.48,0.72
Paradetox,MultiLexiconGST,Hurtlex,1,0.65,0.89,0.77,0.45,0.78
Paradetox,MultiLexiconGST,Orthrus,5,0.63,0.89,0.83,0.47,0.77
Paradetox,MultiLexiconGST,ParaDetox-Lex,3,0.71,0.89,0.75,0.49,0.77
Paradetox,BlindedGST,-,-,0.72,0.78,0.56,0.32,0.64
Jigsaw,LexiconGST,Abusive,3,0.52,0.85,0.66,0.30,0.75
Jigsaw,LexiconGST,Hurtlex,1,0.45,0.86,0.61,0.24,0.76
Jigsaw,LexiconGST,Orthrus,3,0.75,0.80,0.55,0.32,0.69
Jigsaw,LexiconGST,Jigsaw-Lex,3,0.78,0.77,0.58,0.35,0.69
Jigsaw,MultiLexiconGST,Abusive,1,0.64,0.80,0.65,0.34,0.72
Jigsaw,MultiLexiconGST,Hurtlex,1,0.43,0.87,0.70,0.27,0.78
Jigsaw,MultiLexiconGST,Orthrus,3,0.66,0.82,0.67,0.37,0.74
Jigsaw,MultiLexiconGST,Jigsaw-Lex,3,0.73,0.79,0.64,0.38,0.71
Jigsaw,BlindedGST,-,-,0.55,0.79,0.61,0.27,0.70
